StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,ck_ice,ck_weather,ck_rock,ck_fish,nock_ice,nock_rock,nock_weather,nock_fish,attn,gender,gender_3_TEXT,race,race_12_TEXT,age,issues_yn,issues_exp,code
12/7/17 21:50,12/7/17 21:52,0,100,135,1,12/7/17 21:52,R_1jwu7vUTgdCaQcv,,,,,anonymous,EN,,,2,2,1,,1,,1,2,,3,,3,2,,2368412
12/7/17 21:50,12/7/17 21:52,0,100,132,1,12/7/17 21:52,R_1IRHgMNTACbj2Jq,,,,,anonymous,EN,,1,2,,2,,,2,1,2,,1,,2,2,,rose283
12/7/17 21:49,12/7/17 21:52,0,100,176,1,12/7/17 21:52,R_2OGuaETaCOej7Kg,,,,,anonymous,EN,4,,5,,,,5,4,1,1,,2,,2,2,,Mt1234
12/7/17 21:51,12/7/17 21:53,0,100,138,1,12/7/17 21:53,R_TdOTuQRlaLBR6et,,,,,anonymous,EN,,3,,1,1,1,,,1,1,,1,,3,2,,dafield
12/7/17 21:51,12/7/17 21:53,0,100,156,1,12/7/17 21:53,R_ODcKtmsx6htUHfz,,,,,anonymous,EN,1,,1,,,,1,1,1,1,,9,,1,2,,3093789
12/7/17 21:51,12/7/17 21:53,0,100,110,1,12/7/17 21:53,R_1kNyt0oepRpdMjh,,,,,anonymous,EN,,,1,2,1,,1,,0,1,,1,,3,2,,450303
12/7/17 21:49,12/7/17 21:54,0,100,243,1,12/7/17 21:54,R_2zUWraTQxdeBTYZ,,,,,anonymous,EN,,,1,1,1,,1,,1,2,,1,,2,2,,5573507
12/7/17 21:50,12/7/17 21:54,0,100,207,1,12/7/17 21:54,R_2WPjfnkw1LeBXE3,,,,,anonymous,EN,,1,3,,2,,,3,1,2,,1,,3,2,,101996
12/7/17 21:50,12/7/17 21:54,0,100,214,1,12/7/17 21:54,R_cMdpXfNVy06IzQZ,,,,,anonymous,EN,3,5,,,,4,,6,1,2,,7,,2,2,,A14@bdg
12/7/17 21:51,12/7/17 21:54,0,100,186,1,12/7/17 21:54,R_2P6vt6ZYbhMla8q,,,,,anonymous,EN,4,1,,,,3,,2,1,2,,7,,2,2,,cupcakes
12/7/17 21:50,12/7/17 21:54,0,100,225,1,12/7/17 21:54,R_2wGG7jRxmn80beA,,,,,anonymous,EN,,1,1,,1,,,1,1,2,,1,,6,2,,7349453
12/7/17 21:51,12/7/17 21:54,0,100,169,1,12/7/17 21:54,R_10Ips6jroNe1Zh1,,,,,anonymous,EN,1,,,2,,1,1,,1,2,,1,,3,2,,6079607
12/7/17 21:50,12/7/17 21:54,0,100,239,1,12/7/17 21:54,R_eh85ZPKnPG50N1f,,,,,anonymous,EN,1,3,,,,4,,5,0,1,,1,,2,2,,4227084
12/7/17 21:50,12/7/17 21:54,0,100,293,1,12/7/17 21:54,R_1DTNRxDcjhr8ZZD,,,,,anonymous,EN,1,,,1,,1,1,,1,2,,10,,2,2,,G87C8DC
12/7/17 21:50,12/7/17 21:55,0,100,304,1,12/7/17 21:55,R_ZLb9K4O0eogIcW5,,,,,anonymous,EN,1,,,1,,1,1,,1,2,,1,,5,2,,ytd45bn
12/7/17 21:51,12/7/17 21:55,0,100,241,1,12/7/17 21:55,R_2SqofLCI7vB2jZO,,,,,anonymous,EN,,,1,1,1,,1,,1,1,,"1,5",,2,2,,9d2hrr2
